,SK㈜_corr,SK㈜_p_val,롯데쇼핑_corr,롯데쇼핑_p_val,HD현대_corr,HD현대_p_val,서부티앤디_corr,서부티앤디_p_val,하나금융지주_corr,하나금융지주_p_val,모두투어_corr,모두투어_p_val,SK디앤디_corr,SK디앤디_p_val
SK리츠,-0.08315925120183658,0.06587196866989933,0.21475236779031115,1.6050318167487713e-06,0.16107190774226005,0.0003438926935450513,0.4763183473973705,4.0644363036590954e-29,0.07207797870052544,0.11104531922306281,0.5387574497108064,3.106415597558178e-38,-0.15355143370076785,0.0006482679307146457
롯데리츠,0.055360143551691096,0.2212324775113229,-0.032315030375088885,0.4754231306030051,0.0622035907120231,0.16920895994470392,0.16922289150083145,0.0001675397658918875,0.06882943711602801,0.1281298796922915,0.47804926793329816,2.4031868548682663e-29,-0.05475817574069732,0.2263034376715404
코람코라이프인프라리츠,-0.03343472859776038,0.4602559334520718,0.10901120122894367,0.01577408953501718,-0.029369605735711242,0.5165947358320637,0.23646405189063158,1.1818571525691749e-07,-0.09104532367905441,0.04396627555076336,0.19872771852627685,9.333203637020617e-06,-0.10165330247570085,0.024431392381132847
신한서부티앤디리츠,0.039260591923071075,0.38584065238377463,0.19839262022487908,9.669014450451198e-06,0.1090622657835262,0.015724903758823964,0.4053577997085842,8.388325897730067e-21,0.019120342449508883,0.6728758006976332,0.26269387847288456,3.545109314431832e-09,-0.04694076229816271,0.2997377470160152
코람코더원리츠,0.1356038163202714,0.0026301023143516025,0.22307307387608316,6.090842906477977e-07,0.17506127421708886,9.804874036032348e-05,0.3330955474378257,3.6794204659629813e-14,0.15590671591398433,0.000533137707850995,0.4282908961026599,2.8048013561061643e-23,-0.16429539714240868,0.00025980736780244977
스타리츠,0.14280152678975172,0.001528433607098891,0.007629635762110437,0.8662211790284317,0.04490425231601888,0.32121716935721717,-0.23666743814708371,1.1518964941184068e-07,0.028920314986305096,0.5230330562580903,-0.2610329079267109,4.479264244175955e-09,0.2757462727856932,5.329111346968957e-10
디앤디플랫폼리츠,0.08272077932911921,0.06731539461255846,0.08034693974662664,0.07558691563608937,0.23419860961097613,1.57070384077631e-07,0.30418038562435556,5.993162391064253e-12,0.2168180311514107,1.266339006822126e-06,0.49232369016511396,2.8074527878407547e-31,0.023137863049770273,0.6093939642354395
미래에셋글로벌치ㅡ,0.12698540900348476,0.00487518481841667,0.22201314775340125,6.90553978002954e-07,0.08165912260470165,0.07091799964960516,0.14389169789940778,0.0014047249757166004,0.03351458983605289,0.45918455904384964,0.20953560908697755,2.8904217535594965e-06,-0.060255495841859026,0.18298645478649697
NH올원리츠,0.06759935950293493,0.1351067653748503,0.10732086305224595,0.017480212355205162,0.1874275637047537,2.9753091442106516e-05,0.3385130162734539,1.3318213994010332e-14,0.12658049606714653,0.00501423780127984,0.373431743206484,1.1619922993718118e-17,-0.03888078596784786,0.39045666391110195
ESR켄달스퀘어리츠,-0.11982843420320351,0.00792344825155598,0.11164706366009527,0.013404541097774735,-0.03809748443884276,0.40008165150766656,0.2772902310979277,4.2303096576933416e-10,0.02100785787313513,0.6427249367763171,0.5835521790071332,4.707749474582752e-46,-0.2479947637556758,2.6562031164849297e-08
제이알글로벌리츠,-0.11661131166620195,0.009779548528153464,0.2528572369916015,1.3834625350763359e-08,0.12808360067579946,0.0045153860031239305,0.5721003675250504,6.12131869668514e-44,-0.06266693398687138,0.1660492936326563,0.5299998244257823,7.71979248786588e-37,-0.27186392690135786,9.463719939627496e-10
이지스레지던스리츠,-0.07976241888499506,0.07774574838374394,0.2217396132398768,7.132208817375697e-07,0.004534847200134327,0.9202432966717561,0.2997050115894296,1.2558906983851992e-11,0.02196645224057915,0.627630385254477,0.4746946806164245,6.63578552492775e-29,-0.18274772928882166,4.715870932411848e-05
이지스벨류리츠,-0.13252088585479355,0.0032932092147136783,0.035302511594853876,0.43556652801280465,0.02150206403958436,0.6349240146443185,0.2984168462249203,1.550281044824759e-11,-0.11470274493105942,0.011054853165696888,0.22127639652943154,7.53245127357397e-07,-0.11270330703548788,0.012546793424556849
NH프라임리츠,-0.15484670537014653,0.0005823765128307494,-0.2679509916683935,1.6728773756686123e-09,-0.05584031935673625,0.21724609910159487,0.031223534362837785,0.49046759776754306,0.17704947842371085,8.137334101884517e-05,0.48766089611247626,1.2291026882127861e-30,-0.12165212792730429,0.0070172007556595735
신한알파리츠,-0.018612996083289434,0.681072871389312,-0.1269525622373027,0.004886333868595857,-0.05227144605514955,0.2481263664629959,0.05415555703455158,0.2314621516410664,0.04071820697378044,0.36843594084912556,0.2502116504485814,1.9762288528552636e-08,0.014073237751444388,0.7559951326822313
이리츠코크렙,-0.10148149298028032,0.024674973686969606,0.15738997494019072,0.00047070583256432914,0.13421472798364498,0.0029121586581554977,0.3448028989782012,3.9908557634873635e-15,-0.02999291810572758,0.5077309832931659,0.43297904944937216,8.279105451661284e-24,-0.2701693673983692,1.2125257973471621e-09
케이탑리츠,-0.022537239728015822,0.6187151577066191,0.24138287334137756,6.309922167051018e-08,0.0674377913181895,0.13604450376163213,0.17605438672697105,8.935364407869913e-05,0.04240291113745848,0.348937340150297,0.28634404283018633,1.0608115652810407e-10,-0.2430990946387185,5.052775772896347e-08
