,Dependent Variable,Independent Variable,R-squared,coef,P>|t|
0,SK리츠,SK㈜,0.03290787384154348,0.13148969452622772,5.1979559696425015e-06
1,SK리츠,롯데쇼핑,0.007012788025677841,0.06286025400311283,0.036646436370157735
2,SK리츠,HD현대,0.009468644050018682,0.08030883430706857,0.01511261537180928
3,SK리츠,삼성생명,0.0044981033623054945,0.05437684026126531,0.09441900641499132
4,SK리츠,삼성화재,0.00802320076841867,0.06648776918422257,0.02536960080441099
5,SK리츠,한화생명,0.02466534429467082,0.08949628759826887,8.26455226087707e-05
6,SK리츠,한화금융지주,0.030251470052116147,0.1237024704770504,1.2661466661542165e-05
7,롯데리츠,SK㈜,0.06465777420838903,0.11739183971582921,1.5678867114510587e-17
8,롯데리츠,롯데쇼핑,0.06810388241085885,0.13486057202505516,2.056275883716951e-18
9,롯데리츠,HD현대,0.09219943220852778,0.1625146477621296,1.1623291267806026e-24
10,롯데리츠,삼성생명,0.031369477501008936,0.0927578376140983,3.9891583937521165e-09
11,롯데리츠,삼성화재,0.015787401294960368,0.0732024291647931,3.208935264193039e-05
12,롯데리츠,한화생명,0.050781512524792016,0.08483542545646068,5.275170471341741e-14
13,롯데리츠,한화금융지주,0.07131591529903147,0.13595295369443247,3.0785415790758464e-19
14,코람코라이프인프라리츠,SK㈜,0.02407147828206302,0.07190412421678448,3.764576081667894e-06
15,코람코라이프인프라리츠,롯데쇼핑,0.02223086363221316,0.07244514176218789,8.929710890719957e-06
16,코람코라이프인프라리츠,HD현대,0.031175844049959434,0.09173352784062225,1.3505835087925174e-07
17,코람코라이프인프라리츠,삼성생명,0.0172776002069015,0.07252207657714882,9.202722152596288e-05
18,코람코라이프인프라리츠,삼성화재,0.005668385436689682,0.04040299138556015,0.025521315389872366
19,코람코라이프인프라리츠,한화생명,0.02576051343733632,0.05584743749791152,1.705508703562151e-06
20,코람코라이프인프라리츠,한화금융지주,0.03463996977783668,0.0895969840869245,2.6673640184963334e-08
21,삼성FN리츠,SK㈜,0.007768245775628513,0.02559925760684552,0.17906379435641281
22,삼성FN리츠,롯데쇼핑,0.0016649758486697586,0.013637356295278307,0.5345343871029399
23,삼성FN리츠,HD현대,0.0033503214232568634,0.019320956343080637,0.37808972712014466
24,삼성FN리츠,삼성생명,0.0035958644444500365,0.017931302884771762,0.36113415731722454
25,삼성FN리츠,삼성화재,0.005266797365718001,0.01987444481025813,0.26887259456113743
26,삼성FN리츠,한화생명,0.009671858068807437,0.02464802685805844,0.13361937019784242
27,삼성FN리츠,한화금융지주,0.012667569856780303,0.03524899707289219,0.08580911592751098
28,삼성FN리츠.1,SK㈜,0.007768245775628513,0.02559925760684552,0.17906379435641281
29,삼성FN리츠.1,롯데쇼핑,0.0016649758486697586,0.013637356295278307,0.5345343871029399
30,삼성FN리츠.1,HD현대,0.0033503214232568634,0.019320956343080637,0.37808972712014466
31,삼성FN리츠.1,삼성생명,0.0035958644444500365,0.017931302884771762,0.36113415731722454
32,삼성FN리츠.1,삼성화재,0.005266797365718001,0.01987444481025813,0.26887259456113743
33,삼성FN리츠.1,한화생명,0.009671858068807437,0.02464802685805844,0.13361937019784242
34,삼성FN리츠.1,한화금융지주,0.012667569856780303,0.03524899707289219,0.08580911592751098
35,한화리츠,SK㈜,7.922323357023586e-05,0.004687879989409324,0.8893084338566262
36,한화리츠,롯데쇼핑,1.0213173076145665e-05,0.001960618833966756,0.9601451954633224
37,한화리츠,HD현대,0.004591599285320602,0.041527586863526936,0.2887941059133294
38,한화리츠,삼성생명,0.00011970427939278494,-0.006031039086645653,0.8641582337472313
39,한화리츠,삼성화재,6.125887300079125e-05,0.003966504094130203,0.9025934817838961
40,한화리츠,한화생명,0.00010708931700442736,-0.004743976227346446,0.8714498344388385
41,한화리츠,한화금융지주,0.0013647760058694836,0.02109493442938489,0.5633620069979025
42,코람코더원리츠,SK㈜,0.05250790352305146,0.14387404052424715,2.4793750921221066e-07
43,코람코더원리츠,롯데쇼핑,0.01959683428946224,0.09196780025105081,0.0017766474664803525
44,코람코더원리츠,HD현대,0.037923158612889085,0.13899603535187588,1.2540071171338718e-05
45,코람코더원리츠,삼성생명,0.001344355311282519,0.025509870890409403,0.4151913429588622
46,코람코더원리츠,삼성화재,0.003097587020927439,0.03612805321474717,0.2159574970913039
47,코람코더원리츠,한화생명,0.02623918206765896,0.07850221064066495,0.00029184985103876794
48,코람코더원리츠,한화금융지주,0.04833779432611196,0.13359772712128187,7.623826062115928e-07
